일련번호,시도명,시군구명,대피지구명,대피장소명,주소,경도,위도,수용가능인원수,해변으로부터거리,대피소 분류명,내진적용여부,해발높이
127,강원도,강릉시,주문진해변지구,우일아파트 야산,강원도 강릉시 주문진읍 주문리 산96-1,128.82509900,37.90477100,900,200,공터,,24
128,강원도,고성군,가진지구,가진교회 고지대,강원도 고성군 죽왕면 가진리 123-3,128.50790900,38.37254000,300,148,공터,,12
129,강원도,고성군,가진지구,가진항뒷산 고지대,강원도 고성군 죽왕면 가진리 산16임,128.51080800,38.36811100,400,69,공터,,17
130,강원도,고성군,가진지구,동호리뒷산 고지대,강원도 고성군 간성읍 동호리 산10-3임,128.47609500,38.39180200,1170,970,공터,,22
131,강원도,고성군,거진지구,거성초등학교 고지대,강원도 고성군 거진읍 진리 180,128.45738300,38.45258000,1800,437,학교운동장,,29
132,강원도,고성군,거진지구,거진성황당 고지대,강원도 고성군 거진읍 거진리 10-6임,128.46241100,38.45047500,500,138,공터,,32
133,강원도,고성군,거진지구,거진정보공업고등학교 고지대,강원도 고성군 거진읍 거진리 432,128.45028100,38.44094800,1800,393,학교운동장,,10
159,강원도,고성군,천진지구,천진리뒷산(1) 고지대,강원도 고성군 토성면 천진리 산3-1,128.55512900,38.25600500,300,445,공터,,18
160,강원도,고성군,천진지구,천진리뒷산(2) 고지대,강원도 고성군 토성면 천진리 산32임,128.55303200,38.25549500,450,691,공터,,16
161,강원도,고성군,초도지구,대진중고등학교 고지대,강원도 고성군 현내면 초도리 75,128.43310600,38.48432800,390,296,학교운동장,,15
121,강원도,강릉시,정동지구,고성산,강원도 강릉시 강동면 정동진리 267-4번지,129.03378000,37.68960700,120,200,공터,,53
122,강원도,강릉시,정동지구,정동초등학교,강원도 강릉시 강동면 정동진리 184,129.03357400,37.68722100,160,300,공공건축물,1등급,10
148,강원도,고성군,반암지구,반암리뒷산 고지대,강원도 고성군 거진읍 반암리 73-1 임,128.45912500,38.42331900,500,325,공터,,24
149,강원도,고성군,반암지구,반암초소 고지대,강원도 고성군 거진읍 반암리 53-1임,128.46112600,38.42309700,200,183,공터,,33
150,강원도,고성군,봉포지구,경동대학교 고지대,강원도 고성군 토성면 봉포리 306-3,128.55646800,38.25159000,1400,649,공터,,19
151,강원도,고성군,봉포지구,속초기상대 고지대,강원도 고성군 토성면 봉포리 111-3,128.56440400,38.25072800,150,268,공터,,18
152,강원도,고성군,아야진지구,아야진장로교회 고지대,강원도 고성군 토성면 청간리 2-1,128.55432100,38.26910000,150,219,공터,,16
153,강원도,고성군,아야진지구,아야진초등학교 고지대,강원도 고성군 토성면 아야진리 20,128.54959000,38.27337000,1600,413,학교운동장,,27
154,강원도,고성군,아야진지구,아야진침례교회 고지대,강원도 고성군 토성면 아야진리 41,128.55515800,38.27222100,150,95,공터,,12
155,강원도,고성군,아야진지구,토성정수장 고지대,강원도 고성군 토성면 청간리 산36-3임,128.55479300,38.26518600,100,379,공터,,30
156,강원도,고성군,오호지구,삼포마을뒷산 고지대,강원도 고성군 죽왕면 삼포리 산55-1임,128.52929600,38.31504200,150,442,공터,,27
157,강원도,고성군,오호지구,오호교회 고지대,강원도 고성군 죽왕면 오호리 170,128.52514500,38.32920600,150,236,공터,,15
158,강원도,고성군,오호지구,죽왕초등학교뒷산 고지대,강원도 고성군 죽왕면 오호리 산39-1임,128.52273800,38.33069700,700,442,공터,,20
185,강원도,동해시,천곡지구,가세마을야산,강원도 동해시 천곡동 1-4,129.12197100,37.52752800,100,300,공터,,22
144,강원도,고성군,대진지구,현내면공설운동장 고지대,강원도 고성군 현내면 대진리 310,128.41861000,38.50079700,2000,563,공터,,14
145,강원도,고성군,문암지구,문암군부대앞산 고지대,강원도 고성군 죽왕면 문암진리 산1-8임,128.54804300,38.30344000,450,95,공터,,25
146,강원도,고성군,문암지구,문암진리앞산 고지대,강원도 고성군 죽왕면 문암진리 95-2임,128.54301800,38.30018000,300,285,공터,,15
147,강원도,고성군,문암지구,오호초등학교뒷산 고지대,강원도 고성군 죽왕면 삼포리 215-5임,128.53077900,38.31450600,200,508,공터,,13
176,강원도,동해시,부곡지구,하평 주차장,강원도 동해시 천곡동 84-1,129.11572890,37.53387800,50,150,공터,,13
177,강원도,동해시,어달지구,단병공입구,강원도 동해시 대진동 155-8,129.11468400,37.57701700,200,200,도로변,,24
178,강원도,동해시,어달지구,대진도로,강원도 동해시 대진동 196-4,129.11259450,37.57983400,300,100,도로변,,15
179,강원도,동해시,어달지구,동해비치호텔위 마을주차장,강원도 동해시 묵호진동 2-42,129.12071910,37.55787300,100,100,공터,,20
180,강원도,동해시,어달지구,바위섬횟집뒤 도로,강원도 동해시 어달동 11-11,129.11891250,37.56073400,100,100,도로변,,16
181,강원도,동해시,어달지구,선창횟집뒤,강원도 동해시 어달동 25,129.11922500,37.56286400,400,90,공터,,20
182,강원도,동해시,어달지구,어달마을내 도로,강원도 동해시 어달동 134-5,129.11772500,37.56712600,400,100,도로변,,12
183,강원도,동해시,어달지구,어달소공원,강원도 동해시 어달동 47,129.11862360,37.56548000,400,280,공터,,28
184,강원도,동해시,용정지구,감추사해안도로주차장,강원도 동해시 천곡동 78-1,129.12405100,37.51627400,30,150,공터,,27
168,강원도,동해시,망상지구,기곡마을입구,강원도 동해시 망상동 409-21,129.08063300,37.59608400,5000,460,공터,,24
169,강원도,동해시,망상지구,망상초등학교 옆,강원도 동해시 망상동 360-16,129.08983500,37.59118900,2000,330,공터,,10
170,강원도,동해시,망상지구,해군전적비,강원도 동해시 망상동 396-40,129.08466150,37.59391000,3000,290,공터,,17
171,강원도,동해시,"묵호,발한지구",논골도로,강원도 동해시 묵호진동 102-9,129.11627070,37.55412600,200,250,도로변,,29
172,강원도,동해시,"묵호,발한지구",묵호대교,강원도 동해시 발한동 80-303,129.11097900,37.54144700,300,300,도로변,,22
173,강원도,동해시,"묵호,발한지구",산제골도로,강원도 동해시 묵호진동 78-60,129.11374700,37.55354300,200,250,도로변,,30
174,강원도,동해시,"묵호,발한지구",일출공원,강원도 동해시 묵호진동 2-126,129.12004000,37.55507000,100,50,공터,,23
175,강원도,동해시,부곡지구,평릉공원,강원도 동해시 평릉동 102-2,129.11214700,37.53602400,100,400,공터,,22
200,강원도,삼척시,덕산지구,솔바람민박앞공터,강원도 삼척시 근덕면 덕산리 291,129.24234300,37.38113400,150,800,공터,,19
201,강원도,삼척시,상맹방1지구,국도굴다리옆공터,강원도 삼척시 근덕면 상맹방리 229-4,129.20434500,37.40459900,100,250,도로변,,13
162,강원도,고성군,초도지구,이승만별장 고지대,강원도 고성군 현내면 죽정리 산1-3임,128.43643400,38.47089500,50,689,공터,,20
163,강원도,고성군,초도지구,초도항뒷산 고지대,강원도 고성군 현내면 초도리 222-30,128.43065100,38.48851100,50,151,공터,,13
164,강원도,고성군,초도지구,화진포정보화마을 고지대,강원도 고성군 현내면 초도리 84임,128.43693100,38.48366700,130,111,공터,,30
165,강원도,동해시,노봉지구,노봉택지,강원도 동해시 망상동 14-5,129.10546370,37.58209100,400,550,공터,,27
166,강원도,동해시,노봉지구,노봉해수욕장내 야산,강원도 동해시 망상동 170-1,129.09816040,37.58828700,400,100,공터,,19
167,강원도,동해시,노봉지구,목재유통센터,강원도 동해시 망상동 721,129.09965500,37.58166600,400,700,공터,,28
194,강원도,삼척시,갈남지구,갈남전망대,강원도 삼척시 원덕읍 갈남리 104-24,129.32287200,37.28113700,100,385,도로변,,32
195,강원도,삼척시,궁촌지구,공양왕릉,강원도 삼척시 근덕면 궁촌리 178,129.26635600,37.32613200,100,536,공터,,55
196,강원도,삼척시,궁촌지구,궁촌침례교회앞공터,강원도 삼척시 근덕면 궁촌리 393,129.26510900,37.32134600,100,398,공터,,32
197,강원도,삼척시,궁촌지구,금메달주유소뒷산,강원도 삼척시 근덕면 매원리 35-4,129.27140000,37.31666100,100,650,공터,,43
198,강원도,삼척시,노실지구,노실분교운동장,강원도 삼척시 원덕읍 노곡리 142-2,129.34163200,37.20236500,200,326,학교운동장,,25
199,강원도,삼척시,덕산지구,노인요양원앞공터,강원도 삼척시 근덕면 덕산리 36,129.24698300,37.37856500,100,1150,공터,,54
215,강원도,삼척시,임원지구,임원마을회관옆공터,강원도 삼척시 원덕읍 임원리 1208-52,129.34553800,37.23388700,150,335,공터,,35
216,강원도,삼척시,작진지구,작진마을진입공터,강원도 삼척시 원덕읍 노곡리 473-1,129.33717000,37.19627000,200,287,공터,,30
186,강원도,동해시,천곡지구,법원삼거리옆 산책로,강원도 동해시 천곡동 818,129.11998400,37.52247200,100,260,공터,,18
187,강원도,동해시,추암지구,만경대,강원도 동해시 구미동 산53,129.13664100,37.48715400,50,100,공터,,31
188,강원도,동해시,추암지구,북평공단 소공원,강원도 동해시 구호동 249-1,129.15561700,37.47967300,200,400,공터,,13
189,강원도,동해시,추암지구,추암조각공원,강원도 동해시 추암동 477,129.15743420,37.47968200,400,350,공터,,11
190,강원도,동해시,추암지구,추암택지,강원도 동해시 추암동 23,129.15724000,37.47670800,500,500,도로변,,35
191,강원도,동해시,추암지구,하수종말처리장,강원도 동해시 구미동 산5-9,129.14340190,37.49050500,100,500,도로변,,31
192,강원도,동해시,추암지구,할미바위 옆 쉼터,강원도 동해시 구미동 산5-1,129.14544580,37.49077900,200,400,공터,,15
193,강원도,삼척시,갈남지구,갈남마을회관뒤공터,강원도 삼척시 원덕읍 갈남리 13-2,129.32605800,37.27810000,100,391,공터,,30
205,강원도,삼척시,오분지구,남초교뒷산,강원도 삼척시 오분동 산 55,129.18765900,37.42612500,80,480,공터,,41
206,강원도,삼척시,오분지구,오분마을회관뒤공터,강원도 삼척시 오분동 산 14-4,129.18959500,37.42776800,90,460,공터,,32
207,강원도,삼척시,오분지구,오분파출소뒷편,강원도 삼척시 오분동 228-5,129.18862000,37.43055000,80,257,공터,,39
208,강원도,삼척시,용화지구,성황당옆대로,강원도 삼척시 근덕면 용화리 298-1,129.29819800,37.28868000,100,615,도로변,,31
209,강원도,삼척시,용화지구,장호용화랜드앞공터,강원도 삼척시 근덕면 장호리 318-1,129.30859800,37.28688300,200,548,공터,,39
210,강원도,삼척시,용화지구,해망정공터,강원도 삼척시 근덕면 용화리 192-2,129.30344300,37.28853200,100,175,공터,,37
211,강원도,삼척시,용화지구,해상로프웨이,강원도 삼척시 근덕면 용화리 6,129.30821800,37.28912400,200,150,공공건축물,1등급,30
212,강원도,삼척시,월천지구,마을공터,강원도 삼척시 원덕읍 월천리 106,129.35545900,37.15661900,200,377,공터,,41
213,강원도,삼척시,임원지구,남화산공원,강원도 삼척시 원덕읍 임원리 44,129.34740600,37.23137000,100,835,공터,,60
214,강원도,삼척시,임원지구,임원국도옆공터,강원도 삼척시 원덕읍 임원리 165,129.34168100,37.23073900,100,435,공터,,45
229,강원도,삼척시,하맹방지구,삼림욕장공터,강원도 삼척시 근덕면 하맹방리 221-7,129.22790800,37.39222800,300,100,공터,,15
230,강원도,삼척시,호산지구,빗물펌프장뒤공터,강원도 삼척시 원덕읍 호산리 299-7,129.34284200,37.17348200,200,473,도로변,,18
231,강원도,삼척시,호산지구,원덕파출소뒤공터,강원도 삼척시 원덕읍 호산리 277,129.33845400,37.17494500,325,300,공터,,20
232,강원도,삼척시,호산지구,호산항뒷산공터,강원도 삼척시 원덕읍 호산리 309,129.34153100,37.17480300,250,350,공터,,26
233,강원도,삼척시,후진지구,삼척MBC앞공터,강원도 삼척시 교동 갈천동 111,129.16311900,37.46338800,150,261,공터,,30
234,강원도,삼척시,후진지구,이사부사자공원뒷산,강원도 삼척시 증산동 1,129.15965100,37.47572600,150,575,공터,,37
235,강원도,삼척시,후진지구,쏠비치주차장 2,강원도 삼척시 갈천동 225,129.16374800,37.47126600,200,580,공터,,40
236,강원도,속초시,교동지구,설악중학교운동장,강원도 속초시 교동 780-5,128.57843800,38.20668800,2400,1200,학교운동장,,40
202,강원도,삼척시,상맹방2지구,맹방초등학교,강원도 삼척시 근덕면 상맹방리 171-1,129.21326800,37.39873900,200,423,학교운동장,,15
203,강원도,삼척시,신남지구,돌기해삼배양장,강원도 삼척시 원덕읍 갈남리 456-1,129.32346600,37.26589900,100,321,공터,,21
204,강원도,삼척시,신남지구,어촌민속전시관공원내,강원도 삼척시 원덕읍 갈남리 301,129.32722300,37.26804600,100,351,공터,,35
220,강원도,삼척시,정라지구,정라마을회관뒤공터,강원도 삼척시 정하동 산 3-4,129.18737400,37.44232200,100,548,공터,,76
221,강원도,삼척시,정라지구,조각공원뒷산,강원도 삼척시 교동 85-2,129.18464800,37.45656000,100,247,공터,,27
222,강원도,삼척시,정라지구,척추동해비,강원도 삼척시 정상동 82-1,129.18448200,37.43559100,100,508,공터,,34
223,강원도,삼척시,증산지구,심심사앞공터,강원도 삼척시 교동 증산동 63,129.16106400,37.47300100,50,164,공터,,20
224,강원도,삼척시,증산지구,쏠비치주차장 1,강원도 삼척시 증산동 172,129.16475900,37.47210100,200,437,도로변,,40
225,강원도,삼척시,증산지구,이사부공원공터,강원도 삼척시 교동 증산동 1,129.15903200,37.47555900,200,344,공터,,32
226,강원도,삼척시,초곡지구,초곡마을입구,강원도 삼척시 근덕면 초곡리 406-11,129.28480400,37.31062000,100,450,공터,,16
227,강원도,삼척시,초곡지구,황영조기념관앞공터,강원도 삼척시 근덕면 초곡리 51,129.29473200,37.30736300,200,463,공터,,30
228,강원도,삼척시,하맹방지구,천주교 근처 공터,강원도 삼척시 근덕면 교가리 692-18,129.22253900,37.38010900,300,830,공터,,38
243,강원도,속초시,노학지구,아남프라자,강원도 속초시 교동 737-7,128.57756700,38.19727500,1800,460,민간건축물,1등급,50
244,강원도,속초시,대포지구,내물치 뒷산 고지대,강원도 속초시 대포동 산 76-1,128.60557800,38.16871460,700,110,공터,,30
245,강원도,속초시,대포지구,대포초등학교운동장,강원도 속초시 대포동 350,128.60380900,38.17378300,800,140,학교운동장,,21
217,강원도,삼척시,장호지구,장호마을주차장,강원도 삼척시 근덕면 장호리 54-2,129.31871000,37.28517600,150,511,공터,,25
218,강원도,삼척시,장호지구,장호중학교뒤공터,강원도 삼척시 근덕면 장호리 201,129.31154300,37.28388100,200,608,공터,,30
219,강원도,삼척시,정라지구,감로사앞공터,강원도 삼척시 정상동 3-1,129.18381300,37.44060500,100,368,공터,,38
251,강원도,속초시,영랑지구,영금공원고지대,강원도 속초시 속초시 영랑동 1-7,128.59997500,38.21388000,1670,90,공터,,38
252,강원도,속초시,영랑지구,중앙공원고지대,강원도 속초시 속초시 동명동 산 51,128.58508300,38.21527100,3100,580,공터,,25
253,강원도,속초시,장사지구(속초),속초고등학교운동장,강원도 속초시 속초시 장사동 460,128.58369900,38.22571900,2670,460,학교운동장,,20
254,강원도,속초시,장사지구(속초),우림연립고지대,강원도 속초시 속초시 장사동 518-7,128.58519000,38.22650400,200,380,공터,,18
255,강원도,속초시,장사지구(속초),해경충혼탑고지대,강원도 속초시 속초시 장사동 482-3,128.58619300,38.22789300,300,50,공터,,41
256,강원도,속초시,조양지구,선사유적지고지대,강원도 속초시 속초시 조양동 산 142-8,128.57095300,38.19019100,1900,460,공터,,36
257,강원도,속초시,조양지구,설악고등학교운동장,강원도 속초시 속초시 조양동 589-7,128.57341100,38.18552100,3000,1150,학교운동장,,60
237,강원도,속초시,교동지구,속초교육문화관,강원도 속초시 금호동 488-2,128.58596800,38.20645800,220,590,공터,,34
238,강원도,속초시,교동지구,청학연립주차장고지대,강원도 속초시 교동 486-184,128.58497900,38.20319000,710,350,공터,,30
239,강원도,속초시,금호지구,(구)측후소고지대,강원도 속초시 금호동 469-41,128.59120000,38.20667300,500,190,공터,,30
240,강원도,속초시,금호지구,속초해랑중학교,강원도 속초시 금호동 625-37,128.58473900,38.20706400,1500,770,학교운동장,,32
241,강원도,속초시,금호지구,시청주차장고지대,강원도 속초시 금호동 469-1,128.59112800,38.20702100,200,160,공터,,22
242,강원도,속초시,노학지구,속초여자고등학교운동장,강원도 속초시 교동 802-1,128.56800600,38.19976100,2000,1230,학교운동장,,31
264,강원도,속초시,청호3지구,조양감리교회고지대,강원도 속초시 조양동 1289-15,128.60246700,38.18397100,1000,500,공터,,25
265,강원도,양양군,기사문지구,기사문리철뚝,강원도 양양군 현북면 산54-2,128.73111000,38.00555000,300,350,공터,,25
266,강원도,양양군,낙산지구,전진리야산,강원도 양양군 강현면 전진리 산8-2,128.63022200,38.12265100,500,150,공터,,30
267,강원도,양양군,낙산지구,주청리야산,강원도 양양군 강현면 산6-1,128.62950300,38.11234200,500,500,공터,,20
268,강원도,양양군,남애지구,남애리 야산 1,강원도 양양군 현남면 남애리 1,128.78605200,37.94572300,200,300,공터,,30
269,강원도,양양군,남애지구,남애리 야산 2,강원도 양양군 현남면 남애리 1,128.78587600,37.94168200,200,200,공터,,25
270,강원도,양양군,남애지구,남애리 야산 3,강원도 양양군 현남면 남애리 1,128.78625800,37.94546200,200,300,공터,,25
271,강원도,양양군,동산지구,동산리야산,강원도 양양군 현남면 동산리 58-1,128.75908500,37.98026500,100,250,공터,,25
272,강원도,양양군,동호지구,동호리공항도로,강원도 양양군 손양면 동호리 563-8,128.68250000,38.05138000,250,500,공터,,30
273,강원도,양양군,동호지구,동호리야산,강원도 양양군 손양면 산44,128.68222000,38.05527000,250,250,공터,,30
246,강원도,속초시,대포지구,할머니성황당고지대,강원도 속초시 대포동 대포항,128.60465000,38.17142600,1000,90,공터,,23
247,강원도,속초시,동명지구,동명성당고지대,강원도 속초시 동명동 333-3,128.59487700,38.21295300,500,410,공터,,39
248,강원도,속초시,동명지구,속초감리교회,강원도 속초시 동명동 338,128.59401300,38.21234200,1500,450,공터,,39
249,강원도,속초시,영랑지구,동명천주교회,강원도 속초시 동명동 332,128.59531400,38.21323400,180,410,공터,,39
250,강원도,속초시,영랑지구,양우아파트고지대,강원도 속초시 속초시 영랑동 157,128.59267200,38.21620000,300,280,공터,,21
281,강원도,양양군,"인구,광진지구",천주교야산,강원도 양양군 현남면 시변리 41-7,128.75965500,37.97041600,100,300,공터,,20
282,강원도,양양군,정암지구,정암리 야산,강원도 양양군 강현면 정암리 산64-2,128.61500000,38.13722000,200,300,공터,,20
283,강원도,양양군,"지경,원포지구",원포야산,강원도 양양군 현남면 산78,128.79333000,37.92666000,100,300,공터,,20
284,강원도,양양군,"지경,원포지구",지경야산,강원도 양양군 현남면 산 1,128.79888000,37.91694000,100,500,공터,,15
285,강원도,양양군,하광정지구,하광정리 야산,강원도 양양군 현북면 하광정리 산19,128.73000000,38.01722000,500,350,공터,,30
286,경상북도,포항시남구,강사1지구,벤트풀빌라 옆,경상북도 포항시 남구 호미곶면 강사리 212-1,129.57800600,36.03603700,50,250,공터,,18
287,경상북도,포항시남구,강사2지구,강사교회 앞 공터,경상북도 포항시 남구 호미곶면 강사리 437-4,129.57654000,36.04719900,64,600,공터,,19
288,경상북도,포항시남구,강사2지구,해송모텔 앞,경상북도 포항시 남구 호미곶면 강사리 756-5,129.57622100,36.05511900,11,570,공터,,18
258,강원도,속초시,청호2지구,조양초등학교,강원도 속초시 속초시 동해대로 3965,128.59806600,38.18862900,1500,510,학교운동장,,11
259,강원도,속초시,청호1지구,금강대교,강원도 속초시 청호동 금강대교,128.59360000,38.20490000,500,160,도로변,,24
260,강원도,속초시,청호1지구,설악대교,강원도 속초시 청호동 설악대교,128.59360500,38.20107100,300,190,도로변,,24
261,강원도,속초시,청호2지구,이마트,강원도 속초시 청호동 459-134,128.59578600,38.19123800,500,520,민간건축물,1등급,24
262,강원도,속초시,청호3지구,(구)대포정수장고지대,강원도 속초시 대포동 산 44,128.59995900,38.17910800,600,580,공터,,60
263,강원도,속초시,청호3지구,수질환경사업소고지대,강원도 속초시 대포동 552,128.60605700,38.18450700,630,50,공터,,18
292,경상북도,포항시남구,구룡포지구,구룡포중학교 앞,경상북도 포항시 남구 구룡포읍 구룡포리 199-47,129.56699200,35.99063100,30,260,학교운동장,,8
293,경상북도,포항시남구,구룡포지구,충혼탑 앞,경상북도 포항시 남구 구룡포읍 구룡포리 382-7,129.56080330,35.99110700,330,100,공터,,15
294,경상북도,포항시남구,구룡포지구,해은사 앞,경상북도 포항시 남구 구룡포읍 구룡포리 94-14,129.56504570,35.99695200,400,160,공터,,12
295,경상북도,포항시남구,구룡포지구,한빛수산 입구 도로,경상북도 포항시 남구 구룡포읍 구룡포리 331-18,129.56536300,35.99469500,270,260,공터,,15
296,경상북도,포항시남구,구만지구,구만리 389-1 주변,경상북도 포항시 남구 호미곶면 구만리 389-1,129.55080836,36.08135600,185,430,공터,,28
297,경상북도,포항시남구,구만지구,호미곶팬션 앞,경상북도 포항시 남구 호미곶면 구만리 491-7,129.54803360,36.08461100,50,500,공터,,9
298,경상북도,포항시남구,구평지구,건물 입구 공터,경상북도 포항시 남구 구룡포읍 구평리 112,129.53365400,35.94444600,89,425,공터,,26
299,경상북도,포항시남구,대동배지구,대동배1리마을뒷산,경상북도 포항시 남구 호미곶면 대동배리 359,129.53448820,36.05840300,77,320,공터,,23
274,강원도,양양군,물치지구,물치리 야산,강원도 양양군 강현면 물치리 산12,128.60803900,38.15637100,300,170,공터,,15
275,강원도,양양군,설악지구,용호리 야산,강원도 양양군 강현면 용호리 산1-3,128.62035400,38.13425500,300,100,공터,,25
276,강원도,양양군,수산지구,수산리야산 1,강원도 양양군 손양면 산85-1,128.67277000,38.07638000,150,200,공터,,25
277,강원도,양양군,수산지구,수산리야산 2,강원도 양양군 손양면 전20-2,128.67472000,38.07333000,150,200,공터,,25
278,강원도,양양군,오산지구,오산리야산,강원도 양양군 손양면 오산리 23-17,128.66482300,38.08923500,500,100,공터,,25
279,강원도,양양군,"인구,광진지구",광진리야산,강원도 양양군 현남면 광진리 35,128.76804100,37.95933700,100,100,공터,,15
280,강원도,양양군,"인구,광진지구",인구야산,강원도 양양군 현남면 111,128.76530830,37.95220600,100,300,공터,,25
304,경상북도,포항시남구,두원지구,두원리 버스승강장 앞,경상북도 포항시 남구 장기면 두원리 523-15,129.51582800,35.84356000,100,193,공터,,6
305,경상북도,포항시남구,두원지구,두원주유소 앞,경상북도 포항시 남구 장기면 두원리 57-1,129.51811400,35.84891000,1500,425,공터,,19
306,경상북도,포항시남구,모포지구,대진주유소 앞,경상북도 포항시 남구 장기면 대진리 87-3,129.51735400,35.92300700,58,500,공터,,14
307,경상북도,포항시남구,모포지구,모포초등학교 앞,경상북도 포항시 남구 장기면 모포리 94-2,129.52302620,35.93445000,50,470,학교운동장,,15
308,경상북도,포항시남구,발산지구,발산2리 마을뒤 공터,경상북도 포항시 남구 동해면 발산리 116-4,129.51913470,36.04500900,30,200,공터,,25
